number,text
1,"情報と情報技術を活用して問題を発見・解決するために,情報の成り立ちや情報の代表的な特性,メディアの特性を理解する。"
2,"事象や現象を数字や文字などで記号化したものがデータであり,意味や価値が付加されたデータやメッセージを情報という。得られた情報を分析し蓄積したものが知識である。一般には,情報という言葉の意味は広く,データやメッセージ,知識を含めて指す場合もある。また,表現,伝達,記録など,情報のやりとりを媒介するものをメディアという。"
3,"情報は,人が判断をしたり行動を起こしたりする際に必要なものであり,また,意思決定を行う上で欠かせないものである。私達は,情報を基に,問題を発見したり,その原因を考えたり,解決策を決定したりする。コンピュータや情報通信技術が発達した現代の情報社会では,情報やメディアの特徴を正しく理解し,情報を適切に扱う力が求められている。"
4,"情報の代表的な特性として,以下の4つがあげられる。 1.形がない 2.消えない 3.簡単に複製できる 4.容易に伝播する これらの特性は,「もの」と比較して考えると分かりやすい。"
5,"一方で,情報には「形がない」ことから,情報をやりとりするにはメディアが媒介することになる。"
6,"表現手段としてのメディアには,文字,音声,静止画,動画などがある。事象や事実を伝えるには静止画や動画が,また,明確な意図を持ったメッセージを伝えるためには,文字・音声が良く用いられるなど,私たちは目的に合わせて意図的にメディアを使い分ける。同様に,郵便,電話,新聞,インターネットなどの伝達手段としてのメディアについても,伝えたい相手がどこにいるのか,特定の者に伝えたいのか,すぐに伝えたいのか,などという観点から,メディアの特性を意識して使い分けている。情報を記録しておくために使われるメディアについても同じように,容量や手軽さ,対応する情報機器などによって使い分けられている。"
7,"問題解決の流れを理解し,問題の明確化の重要性を理解するとともに,解決方法により効率や結果が異なることがあることを理解する。"
8,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる。
9,"ただし,問題には,例えば「特定の機能を持つプログラムを指定した言語で作成する」というような,ゴール(理想の姿)やそこに到達する手段が既に明示されているようなもの(「課題」と呼ばれることがある)のほか,「ロッカーの鍵を忘れやすく困っている」といった,自らゴール(理想の姿)を設定したり,そこに到達する手段を自ら検討したりしなければならないようなものも存在する。"
10,"問題を発見することは,問題解決を行う上での基本的な第一歩であるが,生徒の状況や時間数などに応じて,教師側で適切な課題やテーマ等を設定しても良い。ただし,問題解決は,単なる「調べただけ」の学習に留まらず,そこから主体的に何かを考えたり判断したりしながら,解決された状態に近づけるための行動を伴うように授業設計をするべきである。そのためにも,ゴール(理想の姿)の設定は非常に重要な要素となる。"
11,"問題解決の手順としては,問題の性質に応じていろいろな方法があるが,情報科の学習過程のイメージとして,次のような進め方や,PDCAサイクルなどがある。"
12,"問題解決の過程において,情報収集や分析にどのようにICT機器を活用するのか,また,アンケート調査を行うにあたって,どのような問いや選択肢を設定するのか,などによっても,結果や効率が変わってくる可能性がある。効率や手間をある程度想定させ,ゴールを意識しながら問題解決を行わせるような指導が必要である。"
13,"問題解決を進める上で,情報を収集・分析し,原因や解決策を効果的に考えることは欠かせない。そのために,目に見えないアイデアや考えなどの情報を可視化することは非常に重要である。"
14,"情報を可視化する方法として,まずは言葉に表現(記号化)することが考えられる。アイデアを生み出す上では,ブレーンストーミングが良く用いられる。"
15,"ブレーンストーミングは,米国の広告代理店BBDO社のA・F・オズボーンが考案した手法である。この手法は,彼が1788年にフリードリッヒ・シラーというドイツの詩人が,アイデアが浮かばないと嘆く友人に宛てた手紙からヒントを得たものと言われている。"
16,ブレーンストーミングには以下の4つのルールがある。
17,"アイデアを整理し可視化する有効な手法として,アイデアをそれぞれカードに記し,二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や,アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある。前者の代表的な例として「KJ法」が,後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる。解決策を決定する場面などでは,座標軸を基に2つの評価項目を設定し,それぞれのアイデアを評価し配置しながら解決策の決定理由を可視化させるという方法もある。"
18,"また,数値などの情報をわかりやすく表現する手段として,2次元配列で表したマトリクス表を作成したり,グラフ化したりする方法がある。マトリクス表は表計算ソフトウェアを用いて活用することもでき,いくつかの解決策を評価する上で利用することもできる。"
19,"問題解決の手順を繰り返し,問題を継続的に改善していくことによって,次の新たな問題を発見し向上していくことができるようになる。結果と理想とを比較し,どの部分を改善すると効果的かを考え,次の問題解決につなげることを意識する必要がある。特に,情報発信を振り返りの一つの大きな場面として利用し,他者からフィードバックをもらうことは重要である。"
20,"情報発信や共有の方法には,例えば次のようなものが考えられる。状況に応じて発表方法を使い分けるなど,効果的なフィードバックにつながるようにすると良い。"
21,"また,情報発信においては,社会の問題解決に貢献している,という側面を意識させることも大切である。特に,生徒が享受している教科書などの知識は,先人たちの努力の積み重ねであり,誰かがそれを発信・共有してくれたからこそ存在している点に気付かせたい。自分自身では大したことのない内容と思っていても,例えば,失敗も含め,その内容を必要とする後輩の生徒が現れるかもしれない。「勉強は自分自身のため」というだけでなく,発信することによって,社会の役に立つ可能性があることを生徒に理解させるとともに,その意味でも,発信内容を分かりやすく整理し,論理的にまとめることの重要性を理解させると良いだろう。"
22,"平成30年の警察白書によれば,サイバー犯罪は次の3つの類型に区別されている。 1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪"
23,"インターネットの世界的な発展に伴い,サイバー犯罪は増加し,多様化・高度化し続けている。ネットワークが身近な存在となり世の中が便利で快適になる一方で,サイバー犯罪の脅威も増加している。便利さの裏側にある危険性を理解した上で,社会としても個人としても適切に判断・行動することが求められる。"
24,"なお,ネットワークを利用したサイバー犯罪には次のような特徴がある。 1.匿名性が高い ネットワークだけのやり取りであれば,相手の名前はもちろん,年齢も性別も分からない。実際に会う機会もないので,相手が誰かになりすましている可能性もある。悪意を持った相手がネットワークを通じて犯罪を行った場合,その人物を特定することは難しい。"
25,"痕跡が残りにくい ネットワーク上で活動した痕跡は,システムの使用履歴(ログ)等の電子データのみであり,紙や指紋のような物理的証拠は残らない。犯人によってログが消されたり改ざんされたりした場合は,犯人の特定がさらに困難になる。"
26,"不特定多数が被害を受ける ネットワーク上のサーバなどがサイバー犯罪の目標になると,広域の不特定多数の人が被害を受ける。それが交通,ガス,電気などに関わるものであれば,その影響は甚大である。コンピュータウィルスなども不特定多数の人に被害を及ぼす例である。"
27,"時間と空間の制約がない ネットワークを用いると,地球の裏側にも瞬時にデータを届けることができる。悪意を持った相手にとっては,地球全体が犯罪の対象であり,そこに時間と空間の制約はない。"
28,"ネットワークを利用した犯罪としては,ネット上で他人の名誉を棄損したり,無責任なうわさを流したりする人権侵害・誹謗中傷行為,他人のプライバシー情報や個人情報を勝手に開示したりするプライバシー権侵害・個人情報流出などをあげることができる。詐欺やマルウェアなども,年々新しい手法が出てきているため,常に最新の情報を基に対策を立てるようにしていく必要がある。"
29,"情報システムを安心して利用するには,情報セキュリティ対策が必要である。情報セキュリティとは,情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。"
30,"情報システムを運用する場合にはこのような情報セキュリティ対策を考慮しなけれ ばな らな い。た だし,どのような情報システムでもこの3要素を最大限に確保しなければならないのかとい うと,そう では ない。導入コストや運用コストなどとのトレードオフも考慮しながら,情報システム毎に3要素の重要度を検討する必要がある。"
31,"2006年制定のJIS Q 13335-1ではさらに真正性(authenticity),責任追跡性(accountability),信頼性(reliability),否認防止(non-repudiation)を加えて7要素と呼ぶ(JIS Q 13335-1はのちにJIS Q 27000シリーズに置き換えられた)。"
32,"これらを実現するためには,認証技術は欠かすことができない。認証はユーザIDとパスワードを使って行うことが多い。一般の利用者が情報システムを利用するにあたり,設定するパスワードは通常,英数字,記号などを組み合わせ,他の人に容易に推測されない複雑なものにする必要がある。"
